team_id,yds_att_std,yds_comp_std,pass_run_std,shotgun_std,wr_terb_st,sec_play_std,clustering_byPassAtt,clustering_byPassComp,clustering_noPassYds
ARI_00,-0.78602012,-0.559752109,1.433158745,-0.997930463,-0.142342559,-0.978073097,1,1,1
ARI_01,0.033182165,0.64398376,0.165772434,-0.355240203,1.433289479,-0.342555898,1,2,2
ARI_02,-1.948078579,-1.476451201,0.297918844,-0.571155251,-0.261623735,-0.523423267,1,1,1
ARI_03,-1.193278925,-1.091978043,0.341227279,-0.110575565,0.149917241,0.494114646,1,2,2
ARI_04,-1.473225239,-1.231407877,-0.522221598,-0.849194701,1.206393227,-0.051362343,1,1,1
ARI_05,0.187493225,-0.186674827,2.443936589,-0.841475705,1.549882056,-0.482655586,2,1,1
ARI_06,0.436231496,0.673957598,0.153566539,-0.309781679,1.794397973,0.099298874,3,2,2
ARI_07,0.516251097,0.66458926,0.690761862,-0.583741648,2.027411391,0.247217481,3,2,2
ARI_08,1.404610631,0.649367087,1.584580652,0.566182335,2.310831793,0.481671767,3,3,2
ARI_09,0.802504582,-0.356479134,1.393723498,0.522421556,1.804413866,0.425391292,3,2,2
ARI_10,-1.729157648,-0.599274167,2.12467863,0.665117697,2.563977744,-1.076624845,2,3,3
ARI_11,-0.029762451,0.944532107,0.785863055,0.550055236,0.960808906,-0.674547409,2,3,3
ARI_12,-2.048108354,-2.024688396,2.059630574,1.05414988,1.073884808,-0.699052878,2,3,3
ARI_13,0.564548531,0.291673009,0.427945764,0.181179483,0.346180728,0.068130976,3,2,2
ARI_14,-0.104298466,0.797527646,0.670047571,0.758394217,0.411520603,0.177944149,2,3,2
ARI_15,1.969535683,2.347142053,0.183403529,0.299496395,1.416196685,0.461640963,3,2,2
ARI_16,-0.163610506,0.024041714,1.446285123,0.675504945,0.351416825,-0.983970039,2,3,3
ATL_00,-1.444303041,-1.104385355,1.152703813,-1.362737357,-0.153286084,1.408315098,4,1,1
ATL_01,0.375252983,1.252652242,-0.348208982,-1.166745331,-0.065518074,1.701518742,4,4,1
ATL_02,0.251553286,0.991006713,-1.333278892,-1.020663613,-0.480312093,1.517547033,4,4,4
ATL_03,-1.664886716,-0.31847057,-0.771007816,-1.17270961,-0.855722289,0.055101789,1,1,1
ATL_04,-0.769221826,-0.036517812,-1.918584874,-1.12227239,-0.614251597,0.584294539,4,4,4
ATL_05,-0.755924629,0.095364941,-1.578570167,-0.817486182,-0.880649536,-0.034696049,1,4,4
ATL_06,-1.098345444,-0.08702452,-1.805999603,-0.049173276,-0.880986453,0.145096474,1,2,4
ATL_07,-0.761692344,-1.02090017,0.826916605,0.217010289,0.407406138,-0.548446416,2,2,3
ATL_08,1.21282114,1.491727941,-1.867209371,-0.353309849,2.242961719,0.562266667,3,4,4
ATL_09,-0.171187289,-0.003679184,-0.073612733,-0.118134681,-0.563914987,-0.906765551,1,2,2
ATL_10,-0.517801665,-1.105599783,-0.385238081,0.066439188,-0.031616267,-0.018438946,1,2,2
ATL_11,0.597843243,0.535622721,0.20794096,0.123084446,-0.135790115,-0.025746817,3,2,2
ATL_12,1.145245932,0.077428692,1.295696141,0.282151499,-0.488988928,0.336096112,3,3,2
ATL_13,-0.125696005,-1.345655121,3.178147519,1.221517357,-0.792050966,-0.097342918,2,3,3
ATL_14,0.97922854,0.146124126,1.647533427,0.631799304,1.359221753,-0.930968885,2,3,3
ATL_15,0.635099034,-0.086686469,0.7936055,0.711242384,0.034679923,0.225544138,2,3,3
ATL_16,3.080699235,2.234538194,0.083050185,0.322696096,0.051769592,-0.522682623,3,2,2
BAL_00,-0.931277921,-0.447636308,-1.398296602,-1.30700139,-1.12886127,1.404949652,4,4,4
BAL_01,-0.817450884,-0.63667553,-0.515946242,-1.550933994,-0.89129236,-1.578916975,1,1,1
BAL_02,-0.753410344,0.117626983,-0.471217523,-1.159818627,-1.348537847,-0.330373883,1,1,1
BAL_03,-1.216574274,-0.435719467,-1.764552268,-1.4229898,-1.423269896,0.408620588,4,1,4
BAL_04,-1.774357513,-1.975977888,-1.219941616,-1.097143856,-0.579375459,0.182433349,4,1,4
BAL_05,-1.207292317,-1.693921529,-0.026474626,-0.44783382,-1.087087073,-0.530943901,1,1,1
BAL_06,0.116377905,-0.402538675,-0.713597471,-0.595997258,-0.899538334,1.88158968,4,4,4
BAL_07,-1.265934229,-2.042952973,-0.026325668,-0.096399519,0.161497259,0.05116548,1,2,2
BAL_08,-0.226594551,0.242000752,-2.039463283,-0.236853253,-0.515141586,1.111852175,4,4,4
BAL_09,0.040824531,-0.261136343,-0.919653065,-0.000313479,-0.830630782,-0.328886452,1,2,2
BAL_10,0.081593546,-0.25511269,-0.882392503,-0.333954776,-0.834112072,0.805377718,4,4,4
BAL_11,-0.284309351,0.248728748,-0.373761489,0.141152872,-1.445447889,-0.150671345,1,2,2
BAL_12,0.641921881,1.247232787,-0.342298552,0.222245761,-0.588693801,-1.577393172,3,2,2
BAL_13,-0.945827538,-0.955570185,0.876448217,1.821294318,-0.272880124,-1.450085147,2,3,3
BAL_14,0.647995324,0.453213824,-0.187391191,-0.496738222,-0.402184541,-0.639738135,3,2,1
BAL_15,-0.232774097,-0.806103106,1.818014761,0.591013683,-0.52390901,-1.175990042,2,3,3
BAL_16,-0.585451174,-1.571245148,2.220048445,1.211775785,-0.67766256,-2.345560699,2,3,3
BUF_00,0.087048025,0.775136933,-0.279375273,-0.203999325,0.607960592,0.106037119,3,2,2
BUF_01,-0.227259625,-0.226215649,0.555613158,-1.14701695,-0.665408575,-0.64767344,1,1,1
BUF_02,0.046449799,-0.178632846,1.400685087,-0.250532121,0.529314511,-0.086823276,3,2,2
BUF_03,-1.523394033,-1.757109605,-0.18112722,-0.495583789,1.1635894,0.37909644,1,2,2
BUF_04,-0.215942077,-0.008201951,-1.164402126,-0.797725975,0.937062654,0.814545418,4,4,4
BUF_05,-1.256075552,-1.549380298,-0.620657983,-0.44869085,1.970024616,1.020192237,1,2,4
BUF_06,-0.241678915,-0.674563185,-0.770391462,-0.62276397,2.202133628,0.995205207,4,2,4
BUF_07,-0.713091996,-0.817765214,-1.096037973,-0.31333672,0.240841961,1.11785645,4,2,4
BUF_08,-0.130556064,-1.012295121,-0.621819385,0.352724034,-0.598241518,1.16101872,4,2,2
BUF_09,-1.060637995,-1.027645687,-0.731017523,-0.030397599,-0.272922921,0.798518059,1,2,2
BUF_10,-0.594055387,-0.12909975,0.134063468,0.773343784,2.93580206,0.10290108,2,2,2
BUF_11,-0.058534222,-0.3683696,0.727251344,1.155526064,1.036934667,0.432090245,2,3,3
BUF_12,-0.139044602,-0.197895515,-0.448007912,1.446723075,0.210875743,0.609317006,2,2,2
BUF_13,-0.755007571,-0.419172994,-1.123751655,1.478673904,-0.469043184,-2.96080586,2,3,3
BUF_14,-0.319280946,-0.882915242,0.728111043,1.475371259,-0.600720028,-0.519694727,2,3,3
BUF_15,0.831535209,0.629487709,-1.303493632,1.988953785,-0.22270557,0.711002335,3,4,4
BUF_16,-0.179099766,-0.202703376,-1.06749639,2.221014169,-0.40275502,-0.308831627,2,2,2
CAR_00,-0.508134424,-0.61469741,1.503183721,-1.554830622,-0.071876937,0.254224367,1,1,1
CAR_01,-2.001881625,-1.737401393,1.436321153,-1.554830622,-0.543796094,-0.863234276,1,1,1
CAR_02,-0.897048842,-0.213919921,-0.823697857,-1.423319402,-0.510689733,0.529353267,4,1,1
CAR_03,0.676064878,1.496939018,-1.610645494,-1.393977788,0.848144683,1.038142919,4,4,4
CAR_04,0.308301146,1.048855495,0.018786369,-0.969746508,0.271734724,0.363570406,3,1,1
CAR_05,0.799766131,1.342920308,-1.295272729,-1.375768832,0.501598297,1.527935645,4,4,4
CAR_06,-0.641730764,-0.787141123,0.045470677,-1.018554151,0.303726736,0.613863915,1,1,1
CAR_07,-1.493071685,-1.366580475,-0.56465923,-0.779444842,0.226783709,-0.522586325,1,1,1
CAR_08,1.218717367,2.1655766,-1.64313018,-0.949651477,1.160004084,0.884064717,4,4,4
CAR_09,-0.518660084,-0.172637489,-1.481786652,-0.837211018,-0.465067844,-0.186170823,4,1,4
CAR_10,-2.291706525,-1.997773656,-0.35911664,0.020023073,-0.59306474,-0.985731204,1,2,2
CAR_11,1.156358998,1.652148467,-0.369325403,1.099089494,-1.014319117,0.368828639,3,2,2
CAR_12,1.310341555,2.427414955,-0.76876653,1.601911934,-0.230289767,0.270733081,3,2,2
CAR_13,0.123415394,-0.145878413,-1.00000684,1.291595616,-0.186785978,1.595534619,4,2,4
CAR_14,-0.085759752,-0.06106378,-0.502146269,1.693440593,-0.228547429,0.49750182,2,2,2
